SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ia 91T-like/1991T/Other phase-band : -13.0B,0.8924114,0.060828418,0.131,-0.2,-13.0,B,0.9412631,0.058736913,12.140458,0.022777595
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,super_chandra/2009dc/CAFOS phase-band : 8.0B,0.7730386,0.4735395,0.051,2.0,8.0,B,0.34092638,0.6590736,12.163059,0.022819998
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,super_chandra/2009dc/KAST phase-band : -6.52B,0.47119933,0.2203453,0.035,-0.8,-6.52,B,0.8235568,0.17644319,12.244618,0.022973018
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,SLSN-I/PTF12dam/LRIS phase-band : 362.0B,2.0371294,0.06163308,0.061,2.0,362.0,B,0.8751125,0.124887526,12.290131,0.023058407
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ia-pec/2000cx/KAST phase-band : 0.4B,0.5511503,0.5299094,0.056,2.0,0.4,B,0.29393062,0.70606935,12.33128,0.02313561
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,Sa,II/2016bkv/FLOYDS-N phase-band : 5.88B,1.2899296,0.089306176,0.136,1.4,5.88,B,0.8815465,0.11845348,12.424924,0.023311302
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB3,II-flash/2013fs_early/ALFOSC phase-band : -2.79B,0.5861789,0.14821815,0.088,-0.6,-2.79,B,0.88404083,0.11595916,12.515301,0.023480864
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ia 99aa-like/1999aa/KAST phase-band : -11.0B,0.36975157,0.28761145,0.061,-0.8,-11.0,B,0.7640351,0.2359649,13.129954,0.02463406
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,Ia-02cx like/2005hk/KAST phase-band : -7.7B,0.5051243,0.12549584,0.105,-0.4,-7.7,B,0.8860868,0.11391319,13.185862,0.024738953
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,II-flash/2016bkv_early/FLOYDS-N phase-band : -2.27B,0.51128465,0.18499537,0.05,-0.8,-2.27,B,0.8516919,0.1483081,13.275497,0.024907125
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,II-flash/2013fs_early/ALFOSC phase-band : -3.81B,0.48562467,0.23304047,0.055,-0.8,-3.81,B,0.8101666,0.18983337,13.36049,0.025113702
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ia-norm/2012fr/KAST phase-band : -5.65B,0.20560077,0.47636473,0.054,-1.0,-5.65,B,0.60411894,0.3958811,13.638692,0.02558854
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB3,SLSN-I/Gaia16apd/ALFOSC phase-band : -15.16B,0.41007474,0.36008847,0.046,-1.2,-15.16,B,0.75224644,0.24775359,12.938527,0.025671681
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB3,Ia 99aa-like/1999aa/ALFOSC phase-band : -10.0B,0.42742264,0.18885508,0.084,-1.4,-10.0,B,0.88684326,0.11315674,14.072731,0.026402872
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB3,II-flash/2016bkv_early/FLOYDS-N phase-band : 0.81B,0.43804306,0.052217044,0.133,-1.4,0.81,B,0.97129995,0.02870004,14.318387,0.026863767
