SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2012aw/DOLORES phase-band : 15.15B,0.13815205,0.73711264,0.001,0.2,15.15,B,0.14113057,0.85886943,3.962733,0.009981695
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ibn/2006jc/DOLORES phase-band : 62.0B,0.13727523,0.7762441,0.044,1.6,62.0,B,0.052521408,0.9474786,3.9646754,0.009986588
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic-BL/2006aj/FORS2 phase-band : 13.01B,0.19299875,0.76100224,0.045,2.0,13.01,B,0.05526102,0.944739,3.9701018,0.010000257
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/LSQ14an/X-Shooter phase-band : 360.0V,0.18609434,0.7628759,0.045,1.4,360.0,V,0.069659226,0.93034077,3.9747329,0.010011922
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2012fr/RSS phase-band : -14.19B,0.124483205,0.59022546,0.061,-2.0,-14.19,B,0.5093185,0.4906815,3.998071,0.010070708
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ic-BL/2003jd/FAST phase-band : -0.81B,1.2555507,0.41937163,0.132,2.0,-0.81,B,0.36693132,0.6330687,3.8697715,0.01007753
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,SLSN-II/2008es/HET-LRS phase-band : -6.0B,0.7015013,0.044540104,0.062,-1.4,-6.0,B,0.9737018,0.02629825,4.012749,0.01010768
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II-flash/iPTF14flu_early/DBSP phase-band : u-,0.39412567,0.108456306,0.065,-1.4,u,-,0.923682,0.076318,4.0183487,0.010121785
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic-BL/2018gep/FLOYDS-N phase-band : 4.24V,0.08839821,0.6832899,0.067,-1.8,4.24,V,0.3477188,0.6522812,4.0188465,0.010123039
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia 91bg-like/1999by/FAST phase-band : 6.0B,0.13863146,0.79676485,0.14,2.0,6.0,B,0.030084115,0.96991587,3.901391,0.010133483
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,SLSN-I/SN2010gx/DBSP phase-band : 14.37B,0.7675693,0.082696155,0.068,-1.4,14.37,B,0.94918066,0.050819334,3.9966667,0.010143824
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/PTF09cnd/LRIS phase-band : 13.0r,0.7458141,0.0040699663,0.062,-1.4,13.0,r,0.99751943,0.002480539,4.0339017,0.010160962
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2016bkv/FLOYDS-N phase-band : 5.88B,0.2581112,0.3060629,0.061,-2.0,5.88,B,0.8044186,0.19558135,4.0392213,0.010174361
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-Ib/2010md/DBSP phase-band : -32.0B,1.1705678,0.011210059,0.073,1.0,-32.0,B,0.9793569,0.020643137,4.0480704,0.01019665
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/iPTF14flu/DBSP phase-band : u-,0.16157891,0.62318736,0.062,-1.4,u,-,0.40701798,0.592982,4.048591,0.010197964
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia 91bg-like/1999by/FAST phase-band : 31.0B,0.12605268,0.7951801,0.139,2.0,31.0,B,0.031260256,0.96873975,3.927837,0.010202174
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIb/1996cb/FAST phase-band : 8.54B,4.5444456e-05,0.85453147,0.069,-1.8,8.54,B,0.00018731169,0.99981266,4.01147,0.010207303
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ibn/2006jc/HFOSC phase-band : 16.0B,0.0362061,0.7457256,0.062,-2.0,16.0,B,0.24270377,0.7572962,4.0534344,0.010210162
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,II-flash/2014G_early/BC-Asi phase-band : -6.87B,0.549296,0.0076623103,0.063,-2.0,-6.87,B,0.9963243,0.003675724,4.05669,0.010218363
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2016esw/KAST phase-band : -0.42B,0.3548782,0.035363205,0.072,-1.6,-0.42,B,0.9781222,0.021877805,4.0577044,0.010220919
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia 91bg-like/1999by/FAST phase-band : 25.0B,0.089217626,0.80908036,0.139,2.0,25.0,B,0.021552997,0.978447,3.9355652,0.010222247
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/2015bn/EFOSC2-NTT phase-band : 289.34B,0.026494553,0.816866,0.062,-1.8,289.34,B,0.1037284,0.8962716,4.0595927,0.010225674
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/SN2007bi/FORS2 phase-band : 421.0V,0.0054931813,0.8451589,0.064,-2.0,421.0,V,0.030297216,0.9697028,4.0614443,0.010230338
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2017erp/RSS phase-band : -16.99B,0.11886261,0.62133926,0.063,-2.0,-16.99,B,0.47312585,0.5268742,4.063066,0.010234423
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2016esw/KAST phase-band : 13.52B,0.05128804,0.7369853,0.066,-1.6,13.52,B,0.23820388,0.7617961,4.0637746,0.010236208
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2012aw/AFOSC phase-band : 2.13B,0.006311733,0.841821,0.063,-1.8,2.13,B,0.03447848,0.9655215,4.06378,0.010236221
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/1987a/IUE phase-band : 581.0B,0.02192644,0.82881284,0.073,2.0,581.0,B,0.013294384,0.9867056,4.0638275,0.0102363415
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ibn/2006jc/LRIS phase-band : 41.65B,0.0029374065,0.8493275,0.065,-1.6,41.65,B,0.013827007,0.986173,4.0643516,0.010237661
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/iPTF15crj/Deveny-LMI phase-band : u-,0.014206316,0.83646625,0.066,-2.0,u,-,0.06989075,0.93010926,4.034962,0.010241021
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/iPTF13ehe/LRIS phase-band : 377.4g,0.0004038321,0.8549346,0.065,-1.8,377.4,g,0.0021466354,0.99785334,4.066768,0.010243748
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2016esw/KAST phase-band : 0.59B,0.01412215,0.81700516,0.066,-2.0,0.59,B,0.09815181,0.9018482,4.0688853,0.010249082
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2007od/LRIS phase-band : 5.19B,0.078716405,0.7346274,0.067,-1.4,5.19,B,0.22642568,0.7735743,4.0691466,0.0102497395
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-pec/2000cx/KAST phase-band : 60.39B,0.000348136,0.85407317,0.067,-2.0,60.39,B,0.0027318161,0.9972682,4.0742397,0.0102625685
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,II/1987a/IUE phase-band : 8.0B,0.0892894,0.81665605,0.144,2.0,8.0,B,0.016828483,0.9831715,3.9629393,0.010266682
